stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
10044490,,"Gilmore and Forest Fair Dr NB","",39.303099,-84.523501,,,0,,,0,,
10228005,,"Fairfield Crossing Park & Ride","",39.351029,-84.544381,,,0,,,0,,
10731955,,"Kettering Medical Center","",39.491911,-84.320516,,,0,,,0,,
10753949,,"Spring at Elm WB","",39.507444,-84.747071,,,0,,,0,,
10753950,,"Kroger WB","",39.507964,-84.750776,,,0,,,0,,
10753951,,"Wells Mill EB","",39.504911,-84.752147,,,0,,,0,,
10753952,,"Foxfire Dr and Locust EB","",39.504135,-84.748436,,,0,,,0,,
10753953,,"College and Central SB","",39.502194,-84.745806,,,0,,,0,,
10754064,,"Spring & Main WB","",39.507402,-84.742326,,,0,,,0,,
10754239,,"Campus Ave Building NB","",39.505509,-84.739238,,,0,,,0,,
10754240,,"Campus Ave at High St NB","",39.510211,-84.739209,,,0,,,0,,
10754241,,"Peabody Hall","",39.501327,-84.724938,,,0,,,0,,
10754270,,"Campus Ave at High St SB","",39.51058,-84.739296,,,0,,,0,,
10754271,,"Campus Ave at Bern St SB","",39.505419,-84.739413,,,0,,,0,,
10754312,,"Uptown Park NB","",39.510727,-84.742371,,,0,,,0,,
10754371,,"Uptown Park SB","",39.511037,-84.742449,,,0,,,0,,
10754372,,"Chestnut St at Campus Ave WB","",39.500574,-84.738583,,,0,,,0,,
10754422,,"Sycamore & Tallawanda NB","",39.514185,-84.734585,,,0,,,0,,
10754423,,"Sycamore & Main WB","",39.515165,-84.740855,,,0,,,0,,
10754424,,"Hawks Landing","",39.517894,-84.745578,,,0,,,0,,
10779912,,"Withrow & College EB","",39.512248,-84.745513,,,0,,,0,,
10779913,,"Main & Withrow SB","",39.512531,-84.742601,,,0,,,0,,
10780321,,"College Corner Pike & Reaghs Way SB","",39.523751,-84.764093,,,0,,,0,,
10780322,,"College Corner Pike & Reaghs Way NB","",39.524171,-84.764496,,,0,,,0,,
10780410,,"Patterson & Bishop Circle NB","",39.50909,-84.730593,,,0,,,0,,
10780411,,"Patterson & Bishop Circle SB","",39.509092,-84.730736,,,0,,,0,,
10797622,,"Sycamore & Lincoln WB","",39.515212,-84.74488,,,0,,,0,,
10797625,,"Chestnut St at Campus Ave WB","",39.500569,-84.738578,,,0,,,0,,
